[Arguments] => mode: train, epoches: 10, batch: 8, load: None, save: first


Train[01/10]: 144/512, [==============>                                   ],  28.12%, loss=1.2769, total=289.3783
Train[01/10]: 145/512, [==============>                                   ],  28.32%, loss=1.1006, total=290.4789
Train[01/10]: 146/512, [==============>                                   ],  28.52%, loss=1.1029, total=291.5819
Train[01/10]: 147/512, [==============>                                   ],  28.71%, loss=1.0747, total=292.6566
Train[01/10]: 148/512, [==============>                                   ],  28.91%, loss=1.0179, total=293.6744
Train[01/10]: 149/512, [==============>                                   ],  29.10%, loss=1.0743, total=294.7487
Train[01/10]: 150/512, [==============>                                   ],  29.30%, loss=1.1743, total=295.9230
Train[01/10]: 151/512, [==============>                                   ],  29.49%, loss=1.1780, total=297.1009
Train[01/10]: 152/512, [==============>                                   ],  29.69%, loss=1.0368, total=298.1377
Train[01/10]: 153/512, [==============>                                   ],  29.88%, loss=0.8775, total=299.0152
Train[01/10]: 154/512, [===============>                                  ],  30.08%, loss=1.7133, total=300.7286
Train[01/10]: 155/512, [===============>                                  ],  30.27%, loss=0.9582, total=301.6867
Train[01/10]: 156/512, [===============>                                  ],  30.47%, loss=1.0361, total=302.7228
Train[01/10]: 157/512, [===============>                                  ],  30.66%, loss=1.1346, total=303.8574
Train[01/10]: 158/512, [===============>                                  ],  30.86%, loss=1.1683, total=305.0257
Train[01/10]: 159/512, [===============>                                  ],  31.05%, loss=0.8051, total=305.8308
Train[01/10]: 160/512, [===============>                                  ],  31.25%, loss=1.1395, total=306.9703
Train[01/10]: 161/512, [===============>                                  ],  31.45%, loss=1.3522, total=308.3225
Train[01/10]: 162/512, [===============>                                  ],  31.64%, loss=1.4420, total=309.7645
Train[01/10]: 163/512, [===============>                                  ],  31.84%, loss=1.0339, total=310.7984
Train[01/10]: 164/512, [================>                                 ],  32.03%, loss=0.8080, total=311.6065
Train[01/10]: 165/512, [================>                                 ],  32.23%, loss=1.0637, total=312.6701
Train[01/10]: 166/512, [================>                                 ],  32.42%, loss=1.0789, total=313.7490
Train[01/10]: 167/512, [================>                                 ],  32.62%, loss=1.2573, total=315.0063
Train[01/10]: 168/512, [================>                                 ],  32.81%, loss=0.7242, total=315.7306
Train[01/10]: 169/512, [================>                                 ],  33.01%, loss=0.8882, total=316.6187
Train[01/10]: 170/512, [================>                                 ],  33.20%, loss=0.9222, total=317.5409
Train[01/10]: 171/512, [================>                                 ],  33.40%, loss=0.8438, total=318.3847
Train[01/10]: 172/512, [================>                                 ],  33.59%, loss=0.8301, total=319.2147
Train[01/10]: 173/512, [================>                                 ],  33.79%, loss=1.3944, total=320.6091
Train[01/10]: 174/512, [================>                                 ],  33.98%, loss=0.8070, total=321.4161
Train[01/10]: 175/512, [=================>                                ],  34.18%, loss=0.7885, total=322.2046
Train[01/10]: 176/512, [=================>                                ],  34.38%, loss=0.7841, total=322.9887
Train[01/10]: 177/512, [=================>                                ],  34.57%, loss=1.0147, total=324.0034
Train[01/10]: 178/512, [=================>                                ],  34.77%, loss=0.8148, total=324.8181
Train[01/10]: 179/512, [=================>                                ],  34.96%, loss=0.7247, total=325.5428
Train[01/10]: 180/512, [=================>                                ],  35.16%, loss=0.9455, total=326.4883
Train[01/10]: 181/512, [=================>                                ],  35.35%, loss=0.9355, total=327.4238
Train[01/10]: 182/512, [=================>                                ],  35.55%, loss=0.8196, total=328.2434
Train[01/10]: 183/512, [=================>                                ],  35.74%, loss=0.9637, total=329.2070
Train[01/10]: 184/512, [=================>                                ],  35.94%, loss=0.8794, total=330.0864
Train[01/10]: 185/512, [==================>                               ],  36.13%, loss=0.8727, total=330.9592
Train[01/10]: 186/512, [==================>                               ],  36.33%, loss=0.8097, total=331.7688
Train[01/10]: 187/512, [==================>                               ],  36.52%, loss=0.7667, total=332.5355
Train[01/10]: 188/512, [==================>                               ],  36.72%, loss=0.8947, total=333.4302
Train[01/10]: 189/512, [==================>                               ],  36.91%, loss=0.7465, total=334.1767
Train[01/10]: 190/512, [==================>                               ],  37.11%, loss=1.7014, total=335.8781
Train[01/10]: 191/512, [==================>                               ],  37.30%, loss=1.1576, total=337.0358
Train[01/10]: 192/512, [==================>                               ],  37.50%, loss=0.8984, total=337.9341
